feature,mean_coefficient,std_coefficient,positive_fraction,horizon
early_comments,-0.6662527281984516,0.28390707865610215,0.0,15 min
early_rank,-0.21517284440354328,0.15872064487318732,0.0,15 min
title_length,-0.17307971373409603,0.21807490545478872,0.4,15 min
comments_velocity,0.07376437206692872,0.08499603853684498,0.8,15 min
title_has_question_mark,0.08107830687286913,0.03567150727968255,1.0,15 min
rank_change,0.1423140485398929,0.10034937504129889,1.0,15 min
title_word_count,0.15134401419207796,0.26267611954751313,0.6,15 min
points_velocity,0.18633708220704787,0.1048959272843429,1.0,15 min
title_has_number,0.2889716501104803,0.10219845234082003,1.0,15 min
observation_count_early,0.3554626992006903,0.050512306797354745,1.0,15 min
engagement_ratio,0.763397172651221,0.2906394791927431,1.0,15 min
early_points,2.8417220326636246,0.21163221581773178,1.0,15 min
engagement_ratio,-0.9175941928708266,0.2345182039595905,0.0,30 min
title_length,-0.18086243741244817,0.24928920710971691,0.2,30 min
rank_change,0.04981289486193716,0.13008897173196635,0.6,30 min
title_word_count,0.05162331361249621,0.28780222148548235,0.6,30 min
title_has_question_mark,0.07707228371362863,0.04562438323302177,1.0,30 min
early_rank,0.12994426507178952,0.06836515158989608,1.0,30 min
observation_count_early,0.1300854676418547,0.10656443355836182,0.8,30 min
title_has_number,0.34713388564140046,0.11796367946202496,1.0,30 min
comments_velocity,0.7178502395363038,0.3273692786015017,1.0,30 min
early_comments,0.968641779396731,0.32453322779036736,1.0,30 min
points_velocity,1.1304746559920775,0.4870324169571453,1.0,30 min
early_points,5.861728950466343,1.1797539824917214,1.0,30 min
engagement_ratio,-0.9861665088101674,0.1528266361635312,0.0,60 min
title_length,-0.14903674286804586,0.2026447077077004,0.2,60 min
title_word_count,-0.02872701029679258,0.2886939049360576,0.6,60 min
rank_change,-0.006650628728308737,0.1315832423372555,0.6,60 min
observation_count_early,-0.00023918249182588726,0.11914232258908322,0.6,60 min
title_has_question_mark,0.05542601940049583,0.0344821001835814,1.0,60 min
early_rank,0.30954973251491774,0.09655087731440126,1.0,60 min
title_has_number,0.34695808573297754,0.15646313277594315,1.0,60 min
comments_velocity,0.7260243551009731,0.39602667563415783,1.0,60 min
early_comments,0.9460032819886832,0.3174387108142116,1.0,60 min
points_velocity,1.3640228862825665,0.5652656559311418,1.0,60 min
early_points,6.200621664847284,1.014203687442783,1.0,60 min
