,mean_abs_shap,abs_coefficient
early_points,1.9157488260252118,2.8417220326636246
engagement_ratio,0.5818894971143067,0.763397172651221
early_comments,0.4985314914179055,0.6662527281984516
observation_count_early,0.32606299485425194,0.3554626992006903
title_has_number,0.23806235468878797,0.2889716501104803
early_rank,0.18185906147057723,0.21517284440354328
title_length,0.15348805987775602,0.17307971373409603
title_word_count,0.13365596757563064,0.15134401419207796
points_velocity,0.090057630590887,0.18633708220704787
rank_change,0.08434828661482188,0.1423140485398929
title_has_question_mark,0.02900450623218327,0.08107830687286913
comments_velocity,0.028728718715810432,0.07376437206692872
